fid,id,lib,date,heure,ok,id_site
"1","11",à la mer,2021/03/02,,vrai,"100"
"2","10",printemps,2021/03/09,2021/03/09 00:00:00,false,"100"
"3","20",été,,,false,"100"
"4","20",été,,,false,"100"
"5","10",BD,2021/03/09,2021/03/09 00:00:00,false,"100"
"6","20",été,,,false,"100"
"7","10",DVD,2021/03/09,2021/03/09 00:00:00,false,"100"
"8","20",livre,,,false,"100"
"9","10",oreiller,2021/03/09,2021/03/09 00:00:00,false,"100"
"10","20",coussin,,,false,"100"
"11","10",jean,2021/03/09,2021/03/09 00:00:00,false,"100"
"12","20",chaussette,,,false,"100"
"13","10",hiver,2021/03/09,2021/03/09 00:00:00,false,"100"
